userId,headlineId,headlineName,clickbait,interaction
1,18389,An Overseer of Medical Trials Comes Under Fire,no,1
1,16725,"Europe hit by storms, 45 deaths reported",no,1
1,22818,Sony faces class action lawsuits for DRM,no,1
1,26119,30 Seconds With S. L. Price: Handling Death From a Foul Ball,no,1
1,13375,11 Things To Do When Somebody Dumps You Shittily,yes,1
1,1431,Which Golden Globe Red Carpet Look Are You Based On Your Zodiac Sign,yes,1
1,4477,Tell Us About Your Self(ie): Sabrina Carpenter,yes,1
1,16315,Airbus A380 safety test injures 33,no,1
1,8899,This Dog Riding A Bike With A Helmet On Is The Cutest Damn Thing You'll See All Day,yes,1
1,15936,24 Times Lucy Hale Won Our Hearts On Instagram,yes,1
1,26405,A Chance to Get Outside,no,1
1,11725,This Is The Difference Between Freshman Year And Senior Year Of College,yes,1
1,25282,Samsung to sell dual-standard DVD player,no,1
1,22244,Romanian government to strengthen laws against tax evasion,no,1
1,5055,"This Bride's ""Certificate Of Purity"" Is Causing A Huge Debate Online",yes,1
1,716,"This Is Julia, Sesame Street's First Character With Autism",yes,1
1,15389,Stop Everything And Look At These Adorably Stylish Dogs,yes,1
1,19953,Belgian ship hijacked off Horn of Africa by Somali pirates,no,1
1,15646,"How Well Do You Remember Season 1 Of ""Friends""",yes,1
1,10590,What Percent Adult Are You,yes,1
1,5825,Siri Can Have Conversations With Other A.I. And I'm Horrified,yes,1
1,2950,Can We Guess What Kind Of Person You Are From These 10 Questions,yes,1
1,24238,Sulpicio names companies hired for 'Princess of the Stars' salvage,no,1
1,17822,Pittsburgh's Bettis to work as NBC studio analyst,no,1
1,11138,We Know What Your Secret Talent Is,yes,1
1,24401,U.S. Supreme Court eases government ability to seize property,no,1
1,4604,22 Drool-Worthy Instagrams To Follow This Year,yes,1
1,31435,Presidential Fiscal Pivot Comes Early This Time,no,1
1,18247,"WWE Raw Results from Memphis, TN for September 15, 2008",no,1
1,24001,Somali pirates demand $2 million ransom for US captain held hostage,no,1
1,9370,Can You Match The Song Lyrics To The Disney TV Movie,yes,1
1,23294,First Iraq-Iran passenger flight in 25 years arrives in Tehran,no,1
1,16794,Nine killed after bombings in southern Afghanistan,no,1
1,2646,21 Struggles Of Being The Sarcastic Person In Your Friend Group,yes,1
1,18163,"Xenophobia Threatens Italy, President Giorgio Napolitano Warns",no,1
1,27478,"After Stimulus Package, Pentagon Officials Are Preparing to Pare Back",no,1
1,3446,Can You Guess The Music Video Featuring Nicki Minaj From Its Screenshot,yes,1
1,28695,Geithner Faces Test at Group of 7 Meeting,no,1
1,1711,Steph Curry's New Baby Daughter Had A Blast At Her First Basketball Game,yes,1
1,12618,Harry Potter Fans Are Sharing Magical And Heartbreaking Art In Memory Of Alan Rickman,yes,1
1,20604,U.S. military denies reports helicopter opened fire on Libyan civilians during rescue mission,no,1
1,17962,South Australian educational blog shut down,no,1
1,1976,"We Asked Jake Gyllenhaal And Jason Clarke Who They Would Bring On An ""Everest"" Climb",yes,1
1,17083,"New industrial area to be created in Arad county, Romania",no,1
1,2629,19 Hilarious Tweets About Having To Sit At The Kids' Table On Thanksgiving,yes,1
1,12666,"Zayn Malik's ""Zitties"" Are Driving People Insane",yes,1
1,20993,Zagat Helps Bring Ratings to Health Care,no,1
1,11485,Here Are All The Parts Of A Corgi You Need To Know,yes,1
1,31335,British Boxers Fight for the Spotlight,no,1
1,4714,18 Booty Call Confessions That Are All Too Real,yes,1
2,5639,This New Infographic Shows Exactly Why You Need To Get Tested,yes,1
2,20224,Card Fees Pit Retailers Against Banks,no,1
2,22402,Eight killed in suicide bombing in Algeria,no,1
2,24644,U.S. study of gay sheep may shed light on sexuality,no,1
2,16180,Thousands attend anti-war protests in London and Glasgow,no,1
2,20878,California Led U.S. in Job Losses in April,no,1
2,30901,"Keeping Jobless Rules Intact, Florida Declines Stimulus Money",no,1
2,1959,What Three Bold Lip Colors Look Like On Six Different Skin Tones,yes,1
2,11747,31 Decadent Apple Desserts That Will Make You Swoon,yes,1
2,29529,"Woman torches own house, attempting to kill spiders",no,1
2,7936,If Cinderella Were Cuban-American,yes,1
2,29088,Gun background checks a no-go in US Senate,no,1
2,21234,"Witnesses saw truck ""rev up and race"" before recent Texas oil refinery blast",no,1
2,3265,17 Texts You'd Get If Drake Moved In With You,yes,1
2,4227,29 Of The Most Ridiculous Ways People Injured Themselves As Kids,yes,1
2,21263,Scientist detained after bomb scare closes Miami airport,no,1
2,3086,"What Are Your Favorite ""Grey's Anatomy"" Relationships",yes,1
2,11118,"Are You More Nickelodeon's ""Doug"" Or Disney's ""Doug""",yes,1
2,7937,This Company May Have Just Created The Most Comfortable Men's Underwear,yes,1
2,7672,Serena Williams Went Tubing With Colton Haynes And OMFG She's Flawless,yes,1
2,1416,Ellen DeGeneres Had Adele Record Her Voicemail Greeting And It's Perfection,yes,1
2,30439,"Perez Wins Bob Hope Classic, Conquering the Wind",no,1
2,6617,17 Jokes Guaranteed To Make Arsenal Fans Laugh,yes,1
2,22757,Netscape Navigator support ceases today,no,1
2,610,How Many Iconic Early '00s Movies Have You Actually Seen,yes,1
2,31347,New Jersey real estate investor charged with $2 million theft,no,1
2,17774,U.S. to Use Bailout Repayments to Aid Small Banks,no,1
2,14479,Couples Discuss Mental Illness,yes,1
2,29207,Leak Halts Shuttle Launching,no,1
2,11109,How Well Do You Know Airport Codes,yes,1
2,23302,Tropical Storm Danielle forms in Atlantic Ocean,no,1
2,29114,Stimulus Bill Would Bestow New Aid to Many Workers,no,1
2,9173,A Barber Was Shocked When Pictures Of Him Cutting An Autistic Boy's Hair Went Viral,yes,1
2,29720,At least twenty dead after landslides in Tanzania,no,1
2,6686,These 6 Assault Survivor Stories Will Break Your Heart,yes,1
2,29884,Industrial Output Declines for a 4th Month,no,1
2,9150,"How Well Do You Know The Game ""Life Is Strange""",yes,1
2,8157,Were You A Disney Or Nickelodeon Kid,yes,1
2,27236,Tables Turn in Transaction of 2 Auto Giants,no,1
2,7909,Chipotle Actually Isn't That Good,yes,1
2,19269,Democrats Cut Labor Provision Unions Sought,no,1
2,5181,28 Times Adele Was Actually Just The Fucking Best,yes,1
2,30821,Maya Moore Helps UConn Roll Past DePaul,no,1
2,21911,Trial Begins for Khmer Rouge Leader,no,1
2,4501,"51 Thoughts I Had While I Watched ""American Horror Story: Hotel"" Episode 3",yes,1
2,5207,When You Have A Crush On Someone Athletic,yes,1
2,2513,These Babies Failing At Christmas Will Make You Laugh/Cry At Your Desk,yes,1
2,8303,12 Signs You're Just Not That Into Relationships,yes,1
2,18094,Pastor Invites  Flock to Bring Their Guns to Church,no,1
2,27403,"Futures Game Is Delayed, but Japanese Prospect Is Ahead of Schedule",no,1
3,8617,"Honestly, Goldilocks Was The Absolute Worst",yes,1
