userId,headlineId,headlineName,clickbait,interaction
1,19436,Russian Boeing 737 crashes with 88 aboard,no,1
1,24365,Bombings reported in Bangkok,no,1
1,24548,Clinton confirmation hearing raises concerns about funding for husband's foundation,no,1
1,11952,Dumb Things Patients Told Their Doctors,yes,1
1,31133,"North, South Korea plan united team for 2008 Olympics",no,1
1,23260,Chip Ganassi makes American motor sports history,no,1
1,31723,Profit Rises but Johnson & Johnson Expects a Weak Year,no,1
1,7404,Stop What You're Doing And Look At These New Pluto Photos,yes,1
1,14089,19 Things People Who Wear Makeup Are Tired Of Hearing,yes,1
1,230,What Percent Vegan Are You,yes,1
1,11397,How to Deal With Unrequited Love,yes,1
1,3676,Should You Go On An Adventure With Ron Weasley Or Samwise Gamgee,yes,1
1,11747,31 Decadent Apple Desserts That Will Make You Swoon,yes,1
1,26315,"Actor Ryan Thomas involved in car crash in Manchester, England",no,1
1,30600,Glasgow's Common Weal launch; 'Not me first. All of us first',no,1
1,10397,When Adele Releases A New Song,yes,1
1,18045,Vestas occupation continues; left-wing political parties voice support,no,1
1,21854,MV Rachel Corrie seized by Israeli Naval Forces,no,1
1,26569,California Begins Hunt for Deeper Cuts,no,1
1,26644,Billionaire Seeks Deal to Invest About $250 Million In Times Co.,no,1
1,31867,"Canadian foreign affairs minister accused to have called Liberal MP a ""dog""",no,1
1,17049,"Bomb blast in Delhi kills 12, injures 62",no,1
1,28450,Anwar's lawsuit over gay slur by former Malaysian premier is dismissed,no,1
1,10436,21 Kitchen Gadgets That Actually Help You Eat Healthier,yes,1
1,1026,Who Said It: David Brent Or Michael Scott,yes,1
1,5289,19 Pictures People Who Haven't Shopped At Aritzia Will Not Understand,yes,1
1,3198,Here's Why Everyone Should Keep A Journal,yes,1
1,65,29 Books Every '90s Kid Will Immediately Recognize,yes,1
1,7907,Tell Us About Yourself(ie): Audrina Patridge,yes,1
1,8182,Things My Dick Does Is Dick Pics You Might Actually Want To See,yes,1
1,12808,21 Ways Being An Optimist Could Explain One Of Your Worst Habits,yes,1
